ID,No of employee,Annual turnover,TCTC,Basic Salary,Cash Injection,Contrib Waiver,Affected Employee
403,1,none,9300,9300,0,0,1
404,1,7500000,167935,167935,0,0,1
405,9,535898.9,7461.92,6989,1,1,1
406,2,otalicabale,119896,0,1,0,1
407,1,0,0,0,1,1,1
408,1,0,0,51481,0,1,1
409,1,45MILIO,1250,10000,1,1,1
410,1,2675351,7300,4300,1,0,0
411,31,207600,67200,67200,0,0,1
412,3,15600,/A,1300,1,1,1
413,8,15Million,23800,11500,1,1,1
414,25,0,0,11000,1,1,1
415,1,2000000,224412,224412,1,1,1
416,2,36000,3000,3000,1,1,1
417,1,5276,9453.36,25000,0,0,1
418,3,567492,38'000.00,35000,1,1,1
419,1,0,0,0,1,1,1
420,1,0,221731,0,0,1,1
421,1,1897323,19668,15500,1,1,1
422,1,7400,0,6400,1,1,1
423,8,25000,40000,4000,1,1,1
424,1,2086475.06,56778.13,35720,1,0,1
425,11,7200,600,600,1,1,1
426,5,18000,1513.5,1500,1,1,1
427,1,24000,30000,2000,1,1,1
428,3,0,0,357220.75,1,1,1
429,2,983738.47,238494,85600,1,1,1
430,1,yearly,24000,24000,0,0,1
431,1,5illion,1440000,120000,1,1,1
432,1,50933.5,6000,6000,1,1,1
433,2,49200,2500,2500,1,1,1
434,7,12000,5500,1000,1,0,1
435,10,0,5800,3600,0,0,1
436,21,300000,0,7200,1,1,1
437,12,272536,10548,9300,1,0,1
438,2,0,7800,6500,1,1,1
439,3,/A,0,26200,1,1,1
440,1,835404.53,44500,44500,1,1,1
441,1,25000,na,1200,1,0,1
442,1,15000,14400,6500,1,1,1
443,1,(2019)42415583.00,922914.25,709019.73,1,1,1
444,13,7532955,26745,18693,1,1,0
445,4,32500000,360836.19,251634.67,1,1,1
446,174,280000,18000,13000,1,1,1
447,5,50000,1300,1200,1,1,1
448,2,300000,5323.01,5112,1,1,1
449,10,0,3600,3400,1,1,1
450,4,40000,13500,13500,1,0,0
451,4,6000000,0,0,1,1,1
452,4,737677,181613,141893.28,1,1,1
453,1,5199358,308010,26130,1,1,0
454,1,3724147.76,348600,885540.36/year,1,1,1
455,24,107000000,517347.86,419298.44,1,1,1
456,9,3.6illion,0,71000,1,1,1
457,11,0,0,0,1,1,1
458,2,0,23800,23800,0,1,0
459,9,63600,15600,1300,1,1,1
460,1,0,0,500,1,0,1
461,3,150000,5200,5200,1,1,1
462,46,1065584,5000,5000,0,1,1
463,108,7800,7800,650,1,1,1
464,7,45000,3600,3600,1,1,1
465,4,30000,62400,5200,1,1,1
466,6,350000,6000,1500,1,1,1
467,1,36000,0,3000,0,0,1
468,21,15000,400,4000,1,1,1
469,2,580905,99600,85200,1,0,1
470,18,1900000,1200000,100000,1,1,1
471,31,550000000,69442.67,65550,1,0,1
472,1,200000,13150,13150,1,1,1
473,6,250000,11000,5000,0,0,1
474,1,150000,1000,300,1,1,1
475,5,1404146,35800-00,335800,1,1,1
476,1,100000,3000,3000,1,0,0
477,1,2800000,786895.42,38000,1,1,1
478,1,1344600,24800,46615,1,1,1
479,1,0,YES,0,1,1,1
480,19,150000,0,92400,1,1,1
481,8,14400,0,1200,0,0,1
482,53,72000,6000,6000,1,1,1
483,1,44400,4700,3700,1,1,1
484,64,otoerating,28800,28800,0,0,1
485,5,6500000,124488,117138,1,1,1
486,5,2000000,97020,72000,1,1,1
487,1,3000000,2216,270000,1,1,1
488,3,1900000,??,696000,1,0,1
489,1,2591613,85462.41,74215.6,1,0,1
490,127,20000000,612785.67,461193.46,1,1,1
491,2,75035360.44,18051.5,15121.82,0,0,1
492,5,4000000,60791.1,33133.12,1,1,1
493,30,13892000,122500,122500,1,1,0
494,1,0,1103057.38,660975.69,0,1,1
495,2,850000,606337,602600,1,1,1
496,3,11823802,775887,717000,1,0,1
497,1,4232364.6,252000,20800,1,1,1
498,1,15MILJ,170000,170000,1,1,1
499,32,4175744.65,132416.28,132416.28,0,0,1
500,7,0,0,0,1,1,1
501,3,50000000,0,92907.61,1,1,1
502,1,120000,281688,281688,1,1,1
503,1,78342,6528.5,6528.5,0,1,1
504,3,81348,81348,6779,1,1,1
505,11,210168,196908,17514,1,1,1
506,2,188.9,188.9,188.9,1,1,1
507,2,1711213,281934,281934,1,1,1
508,3,10000000,706500,58875,1,1,1
509,2,0,0,0,0,0,1
510,3,44808,3734,3734,0,0,1
511,4,16581399,1777604.92,879400,1,0,0
512,31,68000000,4946.15,4700,1,1,0
513,7,858744,71562,71562,0,0,1
514,4,1600000,600000,587350,1,1,1
515,4,3546464.46,675993.84,675993.84,1,1,1
516,1,14000000,116966.38,101796.33,1,1,1
517,4,9879149.86,804282.17,549046.52,1,1,1
518,30,2685245,15700,15700,0,0,0
519,1,219482,13956,8350,0,0,1
520,1,3170476.27,16883.1,12900,1,1,1
521,6,0,220450,1914595,1,1,1
522,2,0,3796,3796,0,1,1
523,4,0,0,0,0,0,1
524,1,110000000,13100,13100,0,0,1
525,1,72000,0,6000,0,0,1
526,3,1958480.13,152801.58,152801.58,0,0,0
527,1,167348.125,8500,7700,0,0,1
528,1,0,60408,60408,1,1,1
529,1,3.8il,69143,69143,1,0,1
530,64,10001442,904.5,84150,1,1,1
531,20,PESIOER,0,1500,1,1,1
532,4,1572350,888163,852146,1,1,1
533,4,240000,40500,13500,1,1,1
534,5,5000000,130402.28,100107.05,1,1,1
535,2,0,0,102437.45(onthly),1,0,1
536,2,0,0,0,1,1,1
537,1,500000,52506.7,45657.6,0,1,1
538,3,0,23621.65,16691.94,1,1,1
539,1,24000000,217713.73,217713.73,1,1,1
540,2,43080,3590,3590,0,0,1
541,8,20000000,2129422.31,161180,0,0,1
542,1,130000+,40800,40800,1,0,1
543,7,441,22500,4000,0,0,1
544,2,1510000,84530,850000,1,0,1
545,1,1000000,13000,13000,0,0,1
546,95,0,4800,4800,0,0,1
547,12,505248,32399.84,34543.6,1,1,1
548,11,5000000,160000,113465.73,1,0,1
549,1,889053.47YTD,43813.32,99750,1,1,1
550,1,0,0,0,1,1,1
551,2,91848492.73,1793578,494089.42,0,1,1
552,111,8000000,19240,19240,1,1,0
553,6,7685182(2020taxyear),53362.5,51482.5,1,1,1
554,49,0,0,0,0,0,1
555,1,34000,3600,3600,1,1,1
556,1,50820,4235,4235,1,1,1
557,3,1800000,2352539,2352539,1,1,1
558,1,300000,326520,326520,1,0,1
559,1,420000,62519,55200,0,1,1
560,1,About1illion,0,29000,1,1,1
561,24,9600,518.4,800,1,1,1
562,4,2600000,61173.67,58100,1,1,1
563,3,0,4336396,363200,0,1,1
564,2,0,446389.81,446389.81,1,0,1
565,3,1369903256,251636.31,218131.64,0,1,1
566,1,/A,/A,216000,1,1,1
567,1,3�764371,61302.74,54183.59,1,1,1
568,1,16961900,272082,271056,1,0,0
569,1,300000,0,0,1,1,1
570,76,90000,0,1111,1,1,1
571,24,1800000,439799,292393,1,1,1
572,1,12000,90000,48000,0,1,1
573,1,121358.72,310026.47,263257.59,1,0,0
574,1,400000,3560.98,8500,1,1,1
575,10,120000,1300,10000,1,0,1
576,6,350000,72000,27000,1,0,1
577,5,30020426,1826541,270230.68,1,1,1
578,9,500000,75000,95000,1,1,1
579,1,202219,75600,64800,1,1,1
580,1,4681402.36,167346.37,165983,1,1,0
581,23,400000,40000,25000,1,0,1
582,34,24000,0,2000,1,1,1
583,5,48000,0,28800,1,1,1
584,6,500000,3000,3000,1,1,1
585,10,6000,120.000.00,20200,0,1,1
586,4,500000,15000,600,1,1,1
587,5,16029977.41,1047926.62,90240,1,1,1
588,9,0,0,30010,1,1,1
589,1,150000,0,0,1,1,1
590,2,1600000,185000,185000,0,0,1
591,4,12000000,500.00eronthy,500,1,1,1
592,1,0,0,7000,1,1,1
593,46,312000,0,26000,1,1,1
594,4,0,4000,4000,0,0,1
595,12,300000,6800,6800,1,1,1
596,11,150000,0,0,0,0,1
597,37,2il,49617.88,41520.5,1,1,1
598,3,528000,44000,44000,1,1,1
599,1,500000,40000,30000,0,1,0
600,1,140000,20000,70000,1,1,1
601,1,6000000,0,31595,1,1,1
602,1,960000,15000,15000,1,0,1
603,1,0,1000,1000,1,1,1
604,1,0,4300,4300,0,0,1
605,5,252000,22000,2000,1,1,1
606,19,1500000,31500,31500,1,1,1
607,9,3000,3000,300,0,0,1
608,2,60000,300,300,1,1,1
609,1,46800,0,52000,0,0,1
610,1,na,8000,16000,1,1,1
611,1,13788047,170394.04,141761.47,1,1,1
612,15,1148783.32,23795.62,22648.5,1,0,0
613,5,48000,6000,2000,1,0,0
614,7,168000,11.7,11600,0,0,1
615,17,1161720,83866,16520.83,1,0,1
616,2,10694781.19,60375.27,52322,1,1,1
617,8,360000,9950,8300,0,0,1
618,1,57000,12500,5500,1,1,1
619,1,/A,36480,28800,0,0,1
620,1,120,0,10,1,0,1
621,21,809000,485400,40450,1,0,1
622,50,15000,16500,9600,0,0,1
623,2,324000,195600,16300,0,1,1
624,12,1.6MIL,21921,21921,0,1,1
625,1,5000000,100326.93,100326.93,1,0,0
626,14,400000,3000,3000,1,1,1
627,14,2500000,49226,39220,0,1,1
628,1,106589.1,18900,18900,1,1,1
629,1,90000,15200,15200,0,0,1
630,1,254631.35,2613.36,2600,1,1,1
631,213,25250,10911.6,10800,1,1,1
632,1,2353843.41,18706.61,18500,1,1,1
633,21,29187546,1133533.82,660477.34,1,0,0
634,17,7500000,135000,135000,1,0,1
635,8,6000000,311625.29,232947.46,0,1,0
636,3,47185,8200,8200,1,1,1
637,2,48000,3000,4000,1,1,1
638,4,1000000,0,26307,1,1,1
639,1,0,0,0,0,0,1
640,2,29238.8,28500,28500,0,1,1
641,49,otAlicable,352448,352448,0,0,0
642,16,50000,12000,12000,1,1,1
643,1,0,0,0,1,1,1
644,3,0,0,800,1,0,1
645,12,0,0,0,1,1,1
646,1,80000,2000,2000,1,1,0
647,1,550000,0,3000,1,1,1
648,1,369000000,4195323.28,2642662.32,1,1,1
649,5,19900,238800,19900,0,1,1
650,3,<1MillionaibianDollars,41059,41059,1,0,0
651,6,197500,5000,5000,1,1,1
652,10,8644358,659506.1,55700,1,1,1
653,5,62400,58029.13,18300,1,1,1
654,2,2146000forfinyear2019/2020,75578.49,66199.52,1,1,1
655,5,69075244,639600.61,477775,1,1,1
656,65,100000,0,800,1,1,1
657,7,11400,11400.OO,11400,0,0,1
658,20,60000,0,5000,0,1,0
659,46,50000,1200,1200,1,1,1
660,16,60000,3500,3000,1,0,1
661,2,30000,10000,12000,1,1,1
662,3,0,na,800eronth,0,0,1
663,2,0,143400.33,1489344.68,0,0,1
664,1,3600,300,300,1,1,1
665,9,0,1500,1500,1,1,1
666,17,30000,20000,20000,1,1,1
667,16,0,0,3600,1,1,1
668,9,14400,14400,14400,1,0,1
669,23,72000,6000,6000,1,1,1
670,1,6000000,35353.49,35353.49,1,1,1
671,3,11500000,97149.93,97149.93,1,1,1
672,3,under10illion,228747,236034.12,1,1,0
673,2,45447840.45,108301.6,67500,1,1,1
674,1,500000,0,21500,1,1,1
675,1,9888193,175647.27,143376.38,1,1,1
676,16,19200,800,800,1,1,1
677,2,2129635,30971.18,21860,1,1,1
678,6,0,2000,1000,0,0,1
679,5,1480163,160700,160700,1,0,1
680,1,0,0,0,1,1,1
681,1,4898649,42000,504000erannu,0,1,1
682,53,5000000,357600,357600,1,1,1
683,2,2600000,22900,22900,1,1,1
684,5,0,0,0,1,1,1
